Repo Name,Collaborator,Collaborator2,Collaborator3,Collaborator4,Collaborator5,Collaborator6,Collaborator7,Collaborator8,Collaborator9,Collaborator10,Collaborator11,Collaborator12,Collaborator13,Collaborator14,Collaborator15,Collaborator16,Collaborator17,Collaborator18,Collaborator19,Collaborator20,Collaborator21,Collaborator22,Collaborator23,Collaborator24,Collaborator25,Collaborator26,Collaborator27,Collaborator28,Collaborator29
NRM-R9DAP,nathan-farnsworth,susan-emery,anupama-wudali,mwei,enlang,sukanya-pailla,allison-leech,thompson-grant,beth-boddiger,alla-gatton,dguidry,jashe,narasimhan-wudali,patricia-chynoweth,svitlana-sergeeva,"teresa-wurschmidt""",,,,,,,,,,,,,
NRM-RangeMgmt,enlang,"Mary-Monson""",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-RangeMgmt-UICore,nathan-farnsworth,enlang,allison-leech,kaylene-monson,narasimhan-wudali,patricia-chynoweth,"Mary-Monson""",,,,,,,,,,,,,,,,,,,,,,
NRM-RecSites,nathan-farnsworth,anupama-wudali,thompson-grant,brian-moe,cyndee-maki,denise-wickwar,elisha-palmer,kathy-kennedy,robert-downing,Cynthia-Maki,Pamela-Hergett,Daniel-Doherty,Michelle-Anderson2,jared-boehmke,Joshua-Weathers,"Ian-Powers""",,,,,,,,,,,,,
NRM-Reference-Application-2023,michael-spritzer,"Angela-Castillo""",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Reference-Application-2023-API,"michael-spritzer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Reference-Application-2023-Database,"michael-spritzer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Reference-Application-2023-Frontend,"michael-spritzer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Reference-Application-2023-Mulesoft,"michael-spritzer""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Road,aaronburk,marc-smith,thompson-grant,anthony-courter,brian-moe,crlandis,davidbpayne,kevin-j-johnson,patricia-chynoweth,tboll,Pamela-Hergett,Daniel-Doherty,Michelle-Anderson2,"jared-boehmke""",,,,,,,,,,,,,,,
NRM-Road-ERL,aaronburk,nathan-farnsworth,"brian-moe""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Road-RATSE,adrian-grell,brian-moe,elisha-palmer,Timothy-Lindemann,Ashwani-Gupta,Udhayanidhi-Poyyamozhi,"Maria-Conrado""",,,,,,,,,,,,,,,,,,,,,,
NRM-Road-RMO,aaronburk,nathan-farnsworth,naveen-jonnalagadda,susan-emery,lance-bragin,gary-petrakes,thompson-grant,brian-moe,Daniel-Doherty,Michelle-Anderson2,Sheetal-Darpe,"Jinal-Shah""",,,,,,,,,,,,,,,,,
NRM-Road-RteAuth,aaronburk,nathan-farnsworth,gary-petrakes,"brian-moe""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-Road-RteAuthOrg,aaronburk,nathan-farnsworth,"brian-moe""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-RPM,aaronburk,nathan-farnsworth,susan-emery,andrew-hackethorn,thompson-grant,airwin,brian-moe,kathy-kennedy,patricia-chynoweth,Pamela-Hergett,Daniel-Doherty,Michelle-Anderson2,"jared-boehmke""",,,,,,,,,,,,,,,,
NRM-RPTS,nathan-farnsworth,colin-stynes,allison-leech,jeffrey-johnson,thompson-grant,john-simonitch,adrian-grell,bjlee,jstangl,ronald-hartman,Michael-Allen,"Scott-Johnson""",,,,,,,,,,,,,,,,,
NRM-Sandbox-Test,christalrhigdon,"nathan-farnsworth""",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SDELoginTool,nathan-farnsworth,andrew-hackethorn,sukanya-pailla,jencinas,Timothy-Lindemann,Diedre-Arzy,"Michael-Allen""",,,,,,,,,,,,,,,,,,,,,,
NRM-Security,michael-spritzer,allison-leech,lsamet,thompson-grant,ann-mates,delvin-bunton,pamela-young,Angela-Castillo,curtis-phelps,"monica-chandler""",,,,,,,,,,,,,,,,,,,
NRM-ServiceBridge,michael-spritzer,Michael-Allen,"Lakshmi-Chebrolu""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects,svitlana-sergeeva,Pamela-Hergett,jared-boehmke,"Michael-Allen""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-Basic,nathan-farnsworth,naveen-jonnalagadda,gary-petrakes,"ethan-bodin""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-DevStatus,"nathan-farnsworth""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-Email,nathan-farnsworth,naveen-jonnalagadda,"gary-petrakes""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-JasperReportServletV6,nathan-farnsworth,naveen-jonnalagadda,gary-petrakes,"Lorena-Vasquez""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-MobileJava,"nathan-farnsworth""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-RptPara,"nathan-farnsworth""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-RptPara-Legacy,nathan-farnsworth,naveen-jonnalagadda,"gary-petrakes""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SharedObjects-WebServices,nathan-farnsworth,naveen-jonnalagadda,gary-petrakes,"ethan-bodin""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SMP_Geospatial_Web_and_Mobile_and_Cloud,Timothy-Lindemann,"Jordan-Bess""",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-STIGs,nathan-farnsworth,hieu-nguyen,susan-emery,stephaniebelarde,steven-moslin,steven-lammey,robert-galentine,gina-siroy,allison-leech,lsamet,mona-tomomitsu,cmcconnell01,Mark-Leikam,Daniel-Doherty,jared-boehmke,beth-dowsett,Bradley-Fels,"Sheetal-Thakkar""",,,,,,,,,,,
NRM-SUDS,nathan-farnsworth,susan-emery,jose-acosta3,David-Horst,chelsea-muir,eric-turbeville,Wade-Koenen,travis-fack,Lorena-Vasquez,John-Hartfield,william-tebah,Harathi-Boyapati,Casperrina-Owens,Sudhakara-Sareddy,Michael-Sirotin,Syed-Raza,"Jalilur-Rahaman""",,,,,,,,,,,,
NRM-SUDS-Data,nathan-farnsworth,David-Horst,chris-granger,chuck-siefke,renae-hoar,"Wade-Koenen""",,,,,,,,,,,,,,,,,,,,,,,
NRM-SUDS-ePermits-Legacy,nathan-farnsworth,naveen-jonnalagadda,leo-chan,enlang,gary-petrakes,"john-simonitch""",,,,,,,,,,,,,,,,,,,,,,,
NRM-SUDS-Legacy,nathan-farnsworth,cam-meyer,chelsea-muir,eric-turbeville,Gaurav-Thakkar,"Lakshmi-Chebrolu""",,,,,,,,,,,,,,,,,,,,,,,
NRM-SUDS-Permit-Templates,chelsea-muir,eric-turbeville,lisa-summers,"Wade-Koenen""",,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SUDS-Proposal,nathan-farnsworth,jose-acosta3,"chris-granger""",,,,,,,,,,,,,,,,,,,,,,,,,,
NRM-SUDS-UI-Core,nathan-farnsworth,jose-acosta3,"chris-granger""",,,,,,,,,,,,,,,,,,,,,,,,,,
